customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,segment
36,163,2,1781.04,1,5,5,155,Lost Customer
37,7,9,11291.71,5,1,1,511,Lost Customer
38,50,4,4502.59,3,5,4,354,Lost Customer
39,34,12,11237.19,3,1,1,311,Lost Customer
40,14,6,6175.2699999999995,5,3,3,533,Lost Customer
41,29,9,9114.15,4,1,1,411,Lost Customer
42,111,4,1936.46,1,5,5,155,Lost Customer
43,61,9,6574.59,2,1,3,213,Lost Customer
44,35,7,7497.4,3,2,2,322,Lost Customer
45,43,3,2912.33,3,5,5,355,Lost Customer
46,53,5,4923.139999999999,3,4,4,344,Lost Customer
47,35,7,8022.01,3,2,2,322,Lost Customer
48,82,8,9654.119999999999,2,2,1,221,At Risk of Churn
49,36,5,7582.92,3,4,2,342,Lost Customer
50,26,8,9252.66,4,2,1,421,Lost Customer
51,55,8,9667.460000000001,3,2,1,321,Lost Customer
52,4,7,10106.57,5,2,1,521,Lost Customer
53,7,5,5472.74,5,4,3,543,Loyal Customer
54,67,7,9813.66,2,2,1,221,At Risk of Churn
55,46,8,6754.21,3,2,3,323,Potential Loyalist
56,2,7,5060.86,5,2,4,524,Lost Customer
57,35,6,8748.75,3,3,2,332,Lost Customer
58,20,8,6967.3099999999995,4,2,2,422,Lost Customer
59,22,3,2797.47,4,5,5,455,Lost Customer
60,200,2,1526.9,1,5,5,155,Lost Customer
61,47,7,8397.28,3,2,2,322,Lost Customer
62,5,6,5845.950000000001,5,3,3,533,Lost Customer
63,68,3,4156.66,2,5,4,254,Lost Customer
64,3,5,4111.12,5,4,4,544,Loyal Customer
65,136,6,8056.469999999999,1,3,2,132,Lost Customer
66,43,5,6489.33,3,4,3,343,Lost Customer
67,116,5,5304.15,1,4,4,144,Lost Customer
68,84,3,5127.98,2,5,4,254,Lost Customer
69,20,6,8395.75,4,3,2,432,Lost Customer
70,4,5,4801.11,5,4,4,544,Loyal Customer
71,131,1,1415.01,1,5,5,155,Lost Customer
72,22,5,4360.42,4,4,4,444,Lost Customer
73,168,6,5265.87,1,3,4,134,Lost Customer
74,28,3,2985.64,4,5,5,455,Lost Customer
75,60,8,7130.63,2,2,2,222,Lost Customer
76,1,8,7425.04,5,2,2,522,Lost Customer
77,101,3,2964.73,1,5,5,155,Lost Customer
78,211,2,1139.12,1,5,5,155,Lost Customer
79,43,6,6761.43,3,3,3,333,Potential Loyalist
80,28,10,12564.82,4,1,1,411,Lost Customer
81,4,4,4421.7,5,5,4,554,VIP Customer
82,78,5,5293.91,2,4,4,244,Lost Customer
83,80,6,4464.65,2,3,4,234,Lost Customer
84,28,7,5464.650000000001,4,2,3,423,Lost Customer
85,37,6,3158.6299999999997,3,3,5,335,Lost Customer
86,0,9,7319.35,5,1,2,512,Lost Customer
87,18,9,7994.73,4,1,2,412,Lost Customer
88,74,6,5550.83,2,3,3,233,Lost Customer
89,4,9,12741.44,5,1,1,511,Lost Customer
90,30,7,7703.58,4,2,2,422,Lost Customer
91,9,8,8066.4400000000005,5,2,2,522,Lost Customer
92,34,3,5098.43,3,5,4,354,Lost Customer
93,79,3,5276.129999999999,2,5,4,254,Lost Customer
94,33,7,8305.77,3,2,2,322,Lost Customer
95,38,4,5049.799999999999,3,5,4,354,Lost Customer
96,70,4,3874.84,2,5,4,254,Lost Customer
97,102,8,8895.95,1,2,1,121,Lost Customer
98,122,5,6180.05,1,4,3,143,Lost Customer
99,2,9,8279.06,5,1,2,512,Lost Customer
100,11,2,2748.2,5,5,5,555,VIP Customer
101,8,4,4309.82,5,5,4,554,VIP Customer
102,42,7,6659.22,3,2,3,323,Potential Loyalist
103,49,5,4909.84,3,4,4,344,Lost Customer
104,64,9,8985.64,2,1,1,211,At Risk of Churn
105,89,4,6234.35,2,5,3,253,Lost Customer
106,1,3,2906.16,5,5,5,555,VIP Customer
107,81,4,3345.1000000000004,2,5,5,255,Lost Customer
108,10,3,3556.66,5,5,5,555,VIP Customer
109,8,10,10661.51,5,1,1,511,Lost Customer
110,14,7,7788.71,5,2,2,522,Lost Customer
111,147,4,4873.0599999999995,1,5,4,154,Lost Customer
112,47,6,9059.89,3,3,1,331,Lost Customer
113,175,6,5412.969999999999,1,3,3,133,Lost Customer
114,70,4,3233.0,2,5,5,255,Lost Customer
115,14,8,8398.18,5,2,2,522,Lost Customer
116,12,8,5663.92,5,2,3,523,Lost Customer
117,5,10,12856.83,5,1,1,511,Lost Customer
118,69,5,5319.51,2,4,3,243,Lost Customer
119,30,4,5217.66,4,5,4,454,Lost Customer
120,129,3,3118.34,1,5,5,155,Lost Customer
121,111,4,4327.44,1,5,4,154,Lost Customer
122,8,5,6533.389999999999,5,4,3,543,Loyal Customer
123,191,4,5337.79,1,5,3,153,Lost Customer
124,2,7,8272.15,5,2,2,522,Lost Customer
125,83,10,7107.32,2,1,2,212,At Risk of Churn
126,11,3,3448.12,5,5,5,555,VIP Customer
127,23,10,9949.62,4,1,1,411,Lost Customer
128,137,4,3679.75,1,5,5,155,Lost Customer
129,178,4,4090.48,1,5,4,154,Lost Customer
130,76,2,3340.42,2,5,5,255,Lost Customer
131,205,6,8745.28,1,3,2,132,Lost Customer
132,7,6,7365.93,5,3,2,532,Lost Customer
133,26,5,3164.55,4,4,5,445,Lost Customer
134,14,6,7170.95,5,3,2,532,Lost Customer
135,115,7,6860.46,1,2,2,122,Lost Customer
136,20,8,9406.85,4,2,1,421,Lost Customer
137,27,5,3507.0499999999997,4,4,5,445,Lost Customer
138,64,7,4927.35,2,2,4,224,Lost Customer
139,26,9,10638.89,4,1,1,411,Lost Customer
140,3,6,7649.34,5,3,2,532,Lost Customer
141,159,3,4053.9800000000005,1,5,4,154,Lost Customer
142,4,11,12474.74,5,1,1,511,Lost Customer
143,13,4,4689.21,5,5,4,554,VIP Customer
144,6,8,8961.14,5,2,1,521,Lost Customer
145,28,7,8149.19,4,2,2,422,Lost Customer
146,194,2,1973.29,1,5,5,155,Lost Customer
147,34,6,8079.09,3,3,2,332,Lost Customer
148,43,5,5808.83,3,4,3,343,Lost Customer
149,18,6,7091.73,4,3,2,432,Lost Customer
150,75,4,3630.96,2,5,5,255,Lost Customer
151,0,8,13047.54,5,2,1,521,Lost Customer
152,158,2,2941.37,1,5,5,155,Lost Customer
153,64,7,7808.16,2,2,2,222,Lost Customer
154,23,6,3558.31,4,3,5,435,Loyal Customer
155,8,3,4008.51,5,5,4,554,VIP Customer
156,16,5,4831.58,4,4,4,444,Lost Customer
157,135,4,2541.39,1,5,5,155,Lost Customer
158,65,6,7221.05,2,3,2,232,Potential Loyalist
159,66,6,6016.32,2,3,3,233,Lost Customer
160,93,2,3024.58,2,5,5,255,Lost Customer
161,159,1,1148.64,1,5,5,155,Lost Customer
162,98,3,3317.47,2,5,5,255,Lost Customer
163,114,2,3089.24,1,5,5,155,Lost Customer
164,198,3,2583.85,1,5,5,155,Lost Customer
165,8,9,9893.75,5,1,1,511,Lost Customer
166,63,8,9737.72,2,2,1,221,At Risk of Churn
167,14,9,9888.61,5,1,1,511,Lost Customer
168,136,9,10135.25,1,1,1,111,Lost Customer
169,61,3,2065.08,2,5,5,255,Lost Customer
170,100,4,4254.31,1,5,4,154,Lost Customer
171,18,9,9865.380000000001,4,1,1,411,Lost Customer
172,11,8,10150.14,5,2,1,521,Lost Customer
173,15,9,14061.48,4,1,1,411,Lost Customer
174,11,10,12893.57,5,1,1,511,Lost Customer
175,64,5,6008.03,2,4,3,243,Lost Customer
176,22,5,6733.15,4,4,3,443,Lost Customer
177,37,12,11826.34,3,1,1,311,Lost Customer
178,32,4,3504.09,4,5,5,455,Lost Customer
179,40,3,3168.84,3,5,5,355,Lost Customer
180,11,7,7970.57,5,2,2,522,Lost Customer
181,50,6,5663.9,3,3,3,333,Potential Loyalist
182,13,7,9279.01,5,2,1,521,Lost Customer
183,102,6,5947.98,1,3,3,133,Lost Customer
184,32,3,3734.88,4,5,5,455,Lost Customer
185,8,7,9254.279999999999,5,2,1,521,Lost Customer
186,23,6,5550.85,4,3,3,433,Lost Customer
187,14,7,6898.79,5,2,2,522,Lost Customer
188,15,6,5126.07,4,3,4,434,Lost Customer
189,3,5,8633.69,5,4,2,542,Lost Customer
190,29,4,3083.07,4,5,5,455,Lost Customer
191,105,1,1065.03,1,5,5,155,Lost Customer
192,79,4,3836.29,2,5,4,254,Lost Customer
193,24,5,7368.36,4,4,2,442,Lost Customer
194,108,3,4313.530000000001,1,5,4,154,Lost Customer
195,0,7,12479.46,5,2,1,521,Lost Customer
196,146,8,6346.61,1,2,3,123,Lost Customer
197,27,9,8456.02,4,1,2,412,Lost Customer
198,58,9,11648.85,3,1,1,311,Lost Customer
199,15,4,4323.860000000001,4,5,4,454,Lost Customer
200,7,9,11117.36,5,1,1,511,Lost Customer
201,28,8,9167.380000000001,4,2,1,421,Lost Customer
202,18,3,2511.82,4,5,5,455,Lost Customer
203,11,5,4376.26,5,4,4,544,Loyal Customer
204,27,8,11444.0,4,2,1,421,Lost Customer
205,52,9,6904.88,3,1,2,312,Lost Customer
206,77,4,5633.8099999999995,2,5,3,253,Lost Customer
207,279,3,4448.26,1,5,4,154,Lost Customer
208,27,5,5158.98,4,4,4,444,Lost Customer
209,107,5,6093.4800000000005,1,4,3,143,Lost Customer
210,22,6,8805.2,4,3,1,431,Lost Customer
211,39,9,10073.76,3,1,1,311,Lost Customer
212,187,2,2429.8,1,5,5,155,Lost Customer
213,28,11,13555.56,4,1,1,411,Lost Customer
214,56,6,6834.46,3,3,2,332,Lost Customer
215,3,8,8485.16,5,2,2,522,Lost Customer
216,16,5,5830.97,4,4,3,443,Lost Customer
217,4,8,11465.25,5,2,1,521,Lost Customer
218,14,5,4232.68,5,4,4,544,Loyal Customer
219,40,7,7915.57,3,2,2,322,Lost Customer
220,15,6,7458.69,4,3,2,432,Lost Customer
221,18,6,6729.84,4,3,3,433,Lost Customer
222,20,2,2626.81,4,5,5,455,Lost Customer
223,52,7,9805.5,3,2,1,321,Lost Customer
224,1,6,6209.46,5,3,3,533,Lost Customer
225,37,3,2416.13,3,5,5,355,Lost Customer
226,116,2,1639.95,1,5,5,155,Lost Customer
227,26,5,5589.13,4,4,3,443,Lost Customer
228,77,5,5178.17,2,4,4,244,Lost Customer
229,60,5,4473.07,2,4,4,244,Lost Customer
230,36,11,11755.6,3,1,1,311,Lost Customer
231,45,4,5338.64,3,5,3,353,Lost Customer
232,141,6,4132.44,1,3,4,134,Lost Customer
233,17,6,5218.62,4,3,4,434,Lost Customer
234,11,10,11557.99,5,1,1,511,Lost Customer
235,2,11,9629.61,5,1,1,511,Lost Customer
236,6,4,5255.34,5,5,4,554,VIP Customer
237,26,8,7156.79,4,2,2,422,Lost Customer
238,107,5,5838.6,1,4,3,143,Lost Customer
239,1,9,12986.130000000001,5,1,1,511,Lost Customer
240,88,6,5689.53,2,3,3,233,Lost Customer
241,47,4,3855.87,3,5,4,354,Lost Customer
242,131,7,7798.25,1,2,2,122,Lost Customer
243,74,6,8818.380000000001,2,3,1,231,Lost Customer
244,194,4,6290.66,1,5,3,153,Lost Customer
245,12,5,4855.26,5,4,4,544,Loyal Customer
246,27,9,9724.98,4,1,1,411,Lost Customer
247,112,7,9778.37,1,2,1,121,Lost Customer
248,134,7,8902.16,1,2,1,121,Lost Customer
249,47,9,6569.14,3,1,3,313,Lost Customer
250,31,7,9866.27,4,2,1,421,Lost Customer
251,38,4,3425.0,3,5,5,355,Lost Customer
252,62,5,5565.48,2,4,3,243,Lost Customer
253,17,5,2932.39,4,4,5,445,Lost Customer
254,41,7,9801.07,3,2,1,321,Lost Customer
255,57,12,14949.91,3,1,1,311,Lost Customer
256,0,5,5861.16,5,4,3,543,Loyal Customer
257,92,5,7616.05,2,4,2,242,Lost Customer
258,18,5,4816.4,4,4,4,444,Lost Customer
259,27,4,5329.9400000000005,4,5,3,453,Lost Customer
260,8,9,8587.0,5,1,2,512,Lost Customer
261,50,9,9137.67,3,1,1,311,Lost Customer
262,10,5,4597.37,5,4,4,544,Loyal Customer
263,46,7,7902.84,3,2,2,322,Lost Customer
264,48,5,4018.37,3,4,4,344,Lost Customer
265,79,4,4809.14,2,5,4,254,Lost Customer
266,32,4,4191.43,4,5,4,454,Lost Customer
267,130,4,5029.25,1,5,4,154,Lost Customer
268,69,4,5104.56,2,5,4,254,Lost Customer
269,168,5,5215.37,1,4,4,144,Lost Customer
270,7,7,7413.610000000001,5,2,2,522,Lost Customer
271,202,2,2293.0200000000004,1,5,5,155,Lost Customer
272,91,7,7345.17,2,2,2,222,Lost Customer
273,28,10,11372.24,4,1,1,411,Lost Customer
274,149,4,2597.6800000000003,1,5,5,155,Lost Customer
275,132,7,8902.17,1,2,1,121,Lost Customer
276,3,6,6112.08,5,3,3,533,Lost Customer
277,21,4,4539.22,4,5,4,454,Lost Customer
278,248,1,1228.07,1,5,5,155,Lost Customer
279,14,6,3817.17,5,3,4,534,Lost Customer
280,43,11,12587.58,3,1,1,311,Lost Customer
281,9,4,3537.46,5,5,5,555,VIP Customer
282,69,2,2565.84,2,5,5,255,Lost Customer
283,91,6,8380.59,2,3,2,232,Potential Loyalist
284,133,5,5874.839999999999,1,4,3,143,Lost Customer
285,7,6,6725.29,5,3,3,533,Lost Customer
286,137,4,6402.0599999999995,1,5,3,153,Lost Customer
287,138,1,2083.94,1,5,5,155,Lost Customer
288,44,4,3936.5699999999997,3,5,4,354,Lost Customer
289,44,10,11383.07,3,1,1,311,Lost Customer
290,11,5,5912.93,5,4,3,543,Loyal Customer
291,40,2,983.55,3,5,5,355,Lost Customer
292,58,7,8825.97,3,2,1,321,Lost Customer
293,10,5,5175.56,5,4,4,544,Loyal Customer
294,115,7,8719.14,1,2,2,122,Lost Customer
295,34,7,5956.46,3,2,3,323,Potential Loyalist
296,8,3,4016.36,5,5,4,554,VIP Customer
297,8,4,5674.71,5,5,3,553,Lost Customer
298,8,11,12420.52,5,1,1,511,Lost Customer
299,92,7,10296.12,2,2,1,221,At Risk of Churn
300,156,5,7003.74,1,4,2,142,Lost Customer
301,93,2,361.78,2,5,5,255,Lost Customer
302,276,2,2024.93,1,5,5,155,Lost Customer
303,43,3,3874.1800000000003,3,5,4,354,Lost Customer
304,80,9,7284.7,2,1,2,212,At Risk of Churn
305,33,7,6385.26,3,2,3,323,Potential Loyalist
306,123,2,1362.46,1,5,5,155,Lost Customer
307,15,9,9818.0,4,1,1,411,Lost Customer
308,25,6,7432.02,4,3,2,432,Lost Customer
309,9,4,5475.93,5,5,3,553,Lost Customer
310,8,7,9065.04,5,2,1,521,Lost Customer
311,61,6,7559.06,2,3,2,232,Potential Loyalist
312,13,6,7564.12,5,3,2,532,Lost Customer
313,17,6,8979.0,4,3,1,431,Lost Customer
314,20,8,6264.7300000000005,4,2,3,423,Lost Customer
315,27,9,7677.51,4,1,2,412,Lost Customer
316,11,4,3813.84,5,5,4,554,VIP Customer
317,51,5,6692.47,3,4,3,343,Lost Customer
318,9,7,9276.07,5,2,1,521,Lost Customer
319,71,5,7051.54,2,4,2,242,Lost Customer
320,12,10,11721.06,5,1,1,511,Lost Customer
321,12,5,5405.99,5,4,3,543,Loyal Customer
322,1,12,14782.23,5,1,1,511,Lost Customer
323,35,6,4992.110000000001,3,3,4,334,Lost Customer
324,21,5,2711.14,4,4,5,445,Lost Customer
325,133,7,9377.09,1,2,1,121,Lost Customer
326,161,3,3419.08,1,5,5,155,Lost Customer
327,16,5,6108.21,4,4,3,443,Lost Customer
328,4,8,5739.53,5,2,3,523,Lost Customer
329,34,6,5425.24,3,3,3,333,Potential Loyalist
330,107,6,8513.2,1,3,2,132,Lost Customer
331,82,7,8593.36,2,2,2,222,Lost Customer
332,263,2,1362.46,1,5,5,155,Lost Customer
333,22,7,6422.91,4,2,3,423,Lost Customer
334,56,6,6125.9,3,3,3,333,Potential Loyalist
335,24,2,2234.34,4,5,5,455,Lost Customer
336,82,5,3711.9500000000003,2,4,5,245,Lost Customer
337,37,6,5855.57,3,3,3,333,Potential Loyalist
338,10,7,8578.51,5,2,2,522,Lost Customer
339,58,5,6459.18,3,4,3,343,Lost Customer
340,30,8,8079.91,4,2,2,422,Lost Customer
341,134,2,3532.9399999999996,1,5,5,155,Lost Customer
342,93,4,2455.7599999999998,2,5,5,255,Lost Customer
343,103,9,10378.0,1,1,1,111,Lost Customer
344,8,9,11386.87,5,1,1,511,Lost Customer
345,19,7,7446.139999999999,4,2,2,422,Lost Customer
346,12,9,8874.36,5,1,1,511,Lost Customer
347,59,7,12360.26,2,2,1,221,At Risk of Churn
348,125,6,5562.58,1,3,3,133,Lost Customer
349,166,5,4619.93,1,4,4,144,Lost Customer
350,4,6,4728.13,5,3,4,534,Lost Customer
351,11,2,2832.11,5,5,5,555,VIP Customer
352,25,6,8533.27,4,3,2,432,Lost Customer
353,23,11,13721.09,4,1,1,411,Lost Customer
354,67,6,5392.11,2,3,3,233,Lost Customer
355,45,5,4674.02,3,4,4,344,Lost Customer
356,61,5,5765.9,2,4,3,243,Lost Customer
357,15,8,8779.220000000001,4,2,1,421,Lost Customer
358,70,2,2129.82,2,5,5,255,Lost Customer
359,8,10,8564.63,5,1,2,512,Lost Customer
360,8,5,6069.39,5,4,3,543,Loyal Customer
361,146,7,6592.67,1,2,3,123,Lost Customer
362,0,5,3486.48,5,4,5,545,VIP Customer
363,14,6,11621.14,5,3,1,531,Lost Customer
364,11,6,6791.39,5,3,2,532,Lost Customer
365,50,7,8188.29,3,2,2,322,Lost Customer
366,115,6,5867.110000000001,1,3,3,133,Lost Customer
367,43,6,7014.01,3,3,2,332,Lost Customer
368,13,9,9300.06,5,1,1,511,Lost Customer
369,101,8,9536.35,1,2,1,121,Lost Customer
370,111,7,7633.95,1,2,2,122,Lost Customer
371,9,5,6859.8,5,4,2,542,Lost Customer
372,31,8,6870.42,4,2,2,422,Lost Customer
373,223,1,1466.68,1,5,5,155,Lost Customer
374,13,6,7756.64,5,3,2,532,Lost Customer
375,91,4,3460.33,2,5,5,255,Lost Customer
376,43,3,1981.8899999999999,3,5,5,355,Lost Customer
377,6,13,11607.86,5,1,1,511,Lost Customer
378,124,7,5827.91,1,2,3,123,Lost Customer
379,145,2,2849.83,1,5,5,155,Lost Customer
380,35,8,10261.59,3,2,1,321,Lost Customer
381,2,8,8019.8,5,2,2,522,Lost Customer
382,35,7,6536.92,3,2,3,323,Potential Loyalist
383,51,3,3922.8999999999996,3,5,4,354,Lost Customer
384,85,5,5068.24,2,4,4,244,Lost Customer
385,78,9,10758.23,2,1,1,211,At Risk of Churn
386,66,5,5445.4400000000005,2,4,3,243,Lost Customer
387,31,3,5303.1,4,5,4,454,Lost Customer
388,55,3,2857.55,3,5,5,355,Lost Customer
389,113,6,3948.4300000000003,1,3,4,134,Lost Customer
390,76,6,4490.52,2,3,4,234,Lost Customer
391,56,4,3132.87,3,5,5,355,Lost Customer
392,101,7,8157.6,1,2,2,122,Lost Customer
393,146,2,2728.3599999999997,1,5,5,155,Lost Customer
394,45,8,7818.74,3,2,2,322,Lost Customer
395,30,7,7802.49,4,2,2,422,Lost Customer
396,29,6,6560.6900000000005,4,3,3,433,Lost Customer
397,45,6,4641.1,3,3,4,334,Lost Customer
398,12,7,4446.48,5,2,4,524,Lost Customer
399,49,6,7848.56,3,3,2,332,Lost Customer
400,134,5,4266.01,1,4,4,144,Lost Customer
401,29,7,7478.68,4,2,2,422,Lost Customer
402,56,6,8148.22,3,3,2,332,Lost Customer
403,56,6,6122.63,3,3,3,333,Potential Loyalist
404,18,9,9330.26,4,1,1,411,Lost Customer
405,14,6,7468.88,5,3,2,532,Lost Customer
406,106,6,5892.509999999999,1,3,3,133,Lost Customer
407,9,9,7837.83,5,1,2,512,Lost Customer
408,17,5,5252.97,4,4,4,444,Lost Customer
409,13,4,3610.11,5,5,5,555,VIP Customer
410,6,7,5472.9,5,2,3,523,Lost Customer
411,187,5,5130.24,1,4,4,144,Lost Customer
412,27,3,3041.12,4,5,5,455,Lost Customer
413,167,5,5306.63,1,4,4,144,Lost Customer
414,47,6,4770.45,3,3,4,334,Lost Customer
415,248,2,3670.0,1,5,5,155,Lost Customer
416,88,5,4670.05,2,4,4,244,Lost Customer
417,70,8,9905.65,2,2,1,221,At Risk of Churn
418,28,6,6298.139999999999,4,3,3,433,Lost Customer
419,14,7,7917.43,5,2,2,522,Lost Customer
420,59,10,11080.54,2,1,1,211,At Risk of Churn
421,56,6,7222.93,3,3,2,332,Lost Customer
422,133,4,5465.0,1,5,3,153,Lost Customer
423,141,5,5058.62,1,4,4,144,Lost Customer
424,74,7,9036.62,2,2,1,221,At Risk of Churn
425,25,7,10925.23,4,2,1,421,Lost Customer
426,59,9,10506.86,2,1,1,211,At Risk of Churn
427,109,4,4678.55,1,5,4,154,Lost Customer
428,51,8,9009.45,3,2,1,321,Lost Customer
429,18,8,8631.57,4,2,2,422,Lost Customer
430,65,6,7494.51,2,3,2,232,Potential Loyalist
431,98,2,3232.46,2,5,5,255,Lost Customer
432,21,8,9237.06,4,2,1,421,Lost Customer
433,15,9,10236.83,4,1,1,411,Lost Customer
434,297,2,1945.46,1,5,5,155,Lost Customer
435,102,4,5669.1,1,5,3,153,Lost Customer
436,50,3,3374.59,3,5,5,355,Lost Customer
437,48,6,5595.76,3,3,3,333,Potential Loyalist
438,51,8,12777.29,3,1,1,311,Lost Customer
439,99,6,6584.91,1,3,3,133,Lost Customer
440,11,8,7773.05,5,1,2,512,Lost Customer
441,62,3,2910.7200000000003,2,5,5,255,Lost Customer
442,13,7,5714.68,5,2,3,523,Lost Customer
443,4,7,7525.93,5,2,2,522,Lost Customer
444,45,7,7147.11,3,2,2,322,Lost Customer
445,24,11,14593.220000000001,4,1,1,411,Lost Customer
446,52,8,10683.11,3,1,1,311,Lost Customer
447,0,6,6502.92,5,3,3,533,Lost Customer
448,188,5,6085.0599999999995,1,4,3,143,Lost Customer
449,133,6,6240.950000000001,1,3,3,133,Lost Customer
450,82,4,5369.55,2,5,3,253,Lost Customer
451,66,6,5925.52,2,3,3,233,Lost Customer
452,24,5,3872.4300000000003,4,4,4,444,Lost Customer
453,41,8,6220.21,3,1,3,313,Lost Customer
454,49,7,9662.82,3,2,1,321,Lost Customer
455,67,3,4076.17,2,5,4,254,Lost Customer
456,88,5,6261.639999999999,2,4,3,243,Lost Customer
457,115,5,6553.5199999999995,1,4,3,143,Lost Customer
458,26,5,3615.63,4,4,5,445,Lost Customer
459,38,5,6449.13,3,4,3,343,Lost Customer
460,17,4,5012.97,4,5,4,454,Lost Customer
461,20,8,10366.86,4,1,1,411,Lost Customer
462,142,6,7830.79,1,3,2,132,Lost Customer
463,59,7,7679.47,2,2,2,222,Lost Customer
464,9,6,8289.86,5,3,2,532,Lost Customer
465,4,6,4766.91,5,3,4,534,Lost Customer
466,40,7,6597.52,3,2,3,323,Potential Loyalist
467,169,7,9085.53,1,2,1,121,Lost Customer
468,94,6,7264.86,2,3,2,232,Potential Loyalist
469,101,10,7566.66,1,1,2,112,Lost Customer
470,9,7,7158.48,5,2,2,522,Lost Customer
471,48,6,6243.62,3,3,3,333,Potential Loyalist
472,49,5,5989.66,3,4,3,343,Lost Customer
473,115,9,12033.62,1,1,1,111,Lost Customer
474,97,2,2107.8199999999997,2,5,5,255,Lost Customer
475,24,7,5131.25,4,2,4,424,Lost Customer
476,9,4,4416.9,5,5,4,554,VIP Customer
477,35,5,5899.43,3,4,3,343,Lost Customer
478,3,9,8880.93,5,1,1,511,Lost Customer
479,76,9,8781.24,2,1,1,211,At Risk of Churn
480,17,2,3179.31,4,5,5,455,Lost Customer
481,14,2,2156.44,5,5,5,555,VIP Customer
482,75,10,11870.130000000001,2,1,1,211,At Risk of Churn
483,40,7,8372.11,3,2,2,322,Lost Customer
484,19,5,5694.35,4,4,3,443,Lost Customer
485,14,6,5662.3099999999995,5,3,3,533,Lost Customer
486,91,5,7323.58,2,4,2,242,Lost Customer
487,139,2,1875.15,1,5,5,155,Lost Customer
488,27,7,4859.099999999999,4,2,4,424,Lost Customer
489,124,5,5450.6900000000005,1,4,3,143,Lost Customer
490,53,9,9886.75,3,1,1,311,Lost Customer
491,68,7,6140.67,2,2,3,223,Lost Customer
492,89,4,5248.15,2,5,4,254,Lost Customer
493,75,3,607.78,2,5,5,255,Lost Customer
494,133,3,2524.5299999999997,1,5,5,155,Lost Customer
495,128,6,6120.139999999999,1,3,3,133,Lost Customer
496,45,4,3612.19,3,5,5,355,Lost Customer
497,59,4,2772.15,2,5,5,255,Lost Customer
498,7,7,9834.95,5,2,1,521,Lost Customer
499,55,11,8960.43,3,1,1,311,Lost Customer
500,24,8,9381.92,4,1,1,411,Lost Customer
501,128,4,3118.51,1,5,5,155,Lost Customer
502,131,5,4852.31,1,4,4,144,Lost Customer
503,83,4,3993.05,2,5,4,254,Lost Customer
504,136,8,7145.67,1,1,2,112,Lost Customer
505,14,5,6456.41,5,4,3,543,Loyal Customer
506,56,10,14208.25,3,1,1,311,Lost Customer
507,36,8,9146.18,3,1,1,311,Lost Customer
508,155,6,7648.2,1,3,2,132,Lost Customer
509,89,6,6017.45,2,3,3,233,Lost Customer
510,59,2,3333.38,2,5,5,255,Lost Customer
511,11,5,4598.69,5,4,4,544,Loyal Customer
512,95,4,4233.95,2,5,4,254,Lost Customer
513,14,5,5958.04,5,4,3,543,Loyal Customer
514,123,5,7401.06,1,4,2,142,Lost Customer
515,14,9,12264.8,5,1,1,511,Lost Customer
516,19,10,9021.7,4,1,1,411,Lost Customer
517,10,6,5083.11,5,3,4,534,Lost Customer
518,261,3,3288.99,1,5,5,155,Lost Customer
519,55,4,4470.85,3,5,4,354,Lost Customer
520,16,5,2566.04,4,4,5,445,Lost Customer
521,154,2,1849.5700000000002,1,5,5,155,Lost Customer
